,manufacturer,transmission,fuel_type,cylinders,wheels,msrp,style,model,year,horsepower,doors,market_category,size,highwaympg,citympg,popularity
1104,3,2,6,8,1,71400,2,17,3,445,4,7,2,24,16,3916
1025,10,4,7,6,2,27240,9,55,3,261,4,6,1,21,16,2009
517,11,2,7,4,3,33950,11,105,3,240,4,9,3,37,25,870
1519,2,1,6,4,1,48650,11,101,4,292,4,4,1,31,23,3105
765,11,2,7,6,1,51050,3,134,4,325,4,1,3,23,17,870
614,11,2,7,4,3,40950,3,134,5,240,4,1,3,30,23,870
138,10,2,7,6,4,23940,9,55,4,261,4,6,1,22,16,2009
1413,3,2,6,8,1,67200,11,16,3,443,4,9,2,25,16,3916
1472,7,2,7,4,3,29895,11,21,3,184,4,6,3,40,28,586
1408,10,2,5,4,1,22100,2,65,4,188,4,1,1,31,26,2009
690,10,2,5,4,1,24150,2,65,4,188,4,1,1,31,26,2009
1507,4,2,7,6,1,34760,11,9,4,292,4,6,2,27,18,1013
1221,2,4,6,10,1,190600,5,95,3,550,2,9,1,19,12,3105
1374,10,2,7,4,3,15480,2,126,5,109,4,7,1,39,31,2009
1328,7,2,7,4,3,22895,11,21,3,184,4,6,3,38,26,586
874,10,2,7,6,3,32090,11,37,4,270,4,10,3,32,22,2009
445,9,2,7,4,3,23195,3,87,3,166,4,1,3,31,25,436
1335,3,2,5,6,4,49050,5,4,5,335,2,4,1,32,21,3916
206,8,2,6,4,1,41275,11,40,4,241,4,9,3,31,24,617
668,8,2,6,8,2,119900,3,56,4,416,4,9,3,14,13,617
1682,9,2,7,4,3,22495,3,88,4,168,4,1,1,28,23,436
927,3,2,6,4,1,39500,11,7,3,240,4,9,3,33,22,3916
462,8,2,6,4,4,47950,5,112,5,241,2,9,1,32,25,617
446,2,2,1,6,1,85200,11,31,4,240,4,2,2,36,24,3105
1464,2,1,5,4,3,45900,11,26,5,252,4,9,3,33,25,3105
895,2,4,6,10,1,164700,5,95,2,525,2,9,1,19,12,3105
813,4,2,4,6,3,35315,10,122,3,283,4,5,3,25,17,1013
1342,11,2,7,6,1,43950,11,109,3,300,4,9,3,28,19,870
1397,8,2,6,8,1,101700,11,52,4,577,4,4,3,22,15,617
1288,2,2,6,4,1,39700,11,26,3,220,4,9,3,31,22,3105
1321,2,1,5,4,1,37700,11,25,4,220,4,9,1,33,24,3105
1527,2,2,6,8,1,90500,11,31,4,450,4,9,2,29,18,3105
331,10,2,7,6,2,29170,8,55,5,261,4,6,1,21,15,2009
870,9,2,7,4,1,21095,11,66,5,168,4,6,1,30,23,436
1685,10,2,7,8,4,31790,9,121,2,317,4,5,2,18,13,2009
1757,8,2,6,12,4,219850,5,111,5,621,2,4,1,21,14,617
1333,7,4,7,4,3,25545,2,6,3,184,4,7,1,35,26,586
45,2,1,5,4,1,43500,7,118,5,220,2,9,1,30,23,3105
370,2,1,5,4,3,46200,11,29,4,252,4,9,3,35,24,3105
514,10,2,6,6,4,43290,7,10,4,350,2,4,1,26,19,2009
1044,11,2,7,6,1,49200,12,123,4,325,4,9,3,27,18,870
1670,8,2,6,6,1,69400,11,45,4,329,4,9,3,26,19,617
1474,11,2,7,5,3,41200,5,42,1,227,2,9,1,28,19,870
33,7,4,7,4,3,21545,3,47,3,155,4,1,3,35,26,586
700,8,2,6,8,4,72800,11,40,5,503,4,4,3,24,18,617
581,9,2,7,4,3,24195,3,87,3,166,4,1,3,31,25,436
268,10,4,7,4,4,21970,9,55,3,152,4,6,1,23,19,2009
551,10,2,7,6,2,32890,8,55,4,261,4,6,1,21,15,2009
540,7,2,7,4,3,24895,11,6,3,184,4,10,1,39,28,586
808,3,2,6,6,4,84300,11,36,2,350,4,9,2,30,22,3916
1514,8,1,6,4,1,33300,3,58,3,208,4,1,1,32,24,617
1545,8,2,6,6,4,85050,5,111,4,329,2,9,1,27,20,617
234,5,4,5,4,3,21395,5,18,4,101,2,6,1,40,31,819
1555,4,2,7,6,4,32260,11,9,4,292,4,6,2,31,19,1013
1403,10,2,7,4,3,22500,11,37,4,182,4,6,3,39,27,2009
649,10,2,7,4,3,14130,11,125,5,109,4,6,1,39,31,2009
961,10,4,7,6,2,32340,8,55,5,261,4,6,1,21,16,2009
1382,3,2,6,6,1,63700,3,132,5,300,4,1,3,24,18,3916
1534,11,2,7,6,1,37550,12,135,3,240,4,1,3,25,18,870
387,3,2,6,8,1,72500,2,17,5,445,4,7,2,24,15,3916
509,2,1,6,6,1,61100,5,103,5,333,2,4,3,26,18,3105
636,8,2,6,8,1,75700,11,45,3,402,4,9,3,24,17,617
1339,3,2,6,8,4,94900,5,22,3,445,2,9,3,25,17,3916
41,10,2,5,4,3,25240,2,65,4,188,4,1,1,32,28,2009
1738,4,2,7,6,3,34495,10,89,5,287,4,6,3,28,18,1013
444,5,4,5,4,3,20400,1,18,3,101,2,7,1,40,31,819
1565,11,2,7,5,1,35650,11,105,4,250,4,9,3,29,20,870
286,3,1,6,6,4,133205,7,73,4,493,2,4,3,23,16,3916
167,7,4,7,4,3,16210,2,3,1,100,4,7,1,35,29,586
1337,2,4,6,10,1,166100,5,95,3,525,2,9,1,19,12,3105
1456,4,2,4,4,3,26685,11,5,5,184,4,5,3,36,23,1013
1604,10,2,7,6,4,24520,9,55,4,261,4,6,1,22,16,2009
1229,3,2,6,4,1,44700,3,129,3,240,4,1,3,28,20,3916
1714,10,2,7,8,4,42680,3,38,2,317,4,5,2,19,13,2009
1481,3,2,6,4,1,50750,5,11,3,240,2,9,3,33,21,3916
971,8,2,6,4,1,54650,11,52,5,241,4,9,3,29,22,617
112,3,2,6,8,1,76100,3,132,5,445,4,1,3,21,15,3916
968,3,2,6,6,1,57000,3,130,4,300,4,1,3,24,18,3916
1678,5,4,5,4,3,20345,5,18,3,101,2,6,1,34,28,819
321,7,2,5,4,4,27505,5,77,3,158,2,10,1,28,21,586
1210,4,2,7,6,4,35595,11,9,4,300,4,10,2,31,19,1013
1560,5,4,5,4,3,20000,3,20,4,160,4,1,1,34,25,819
1432,7,2,5,4,4,26230,5,77,3,158,2,10,1,28,21,586
10,10,2,6,6,4,38370,7,10,3,332,2,8,1,26,19,2009
1722,10,4,5,4,3,21990,11,117,5,188,4,6,3,32,26,2009
86,4,2,4,6,1,29370,11,5,3,295,4,5,3,29,18,1013
342,2,2,5,4,1,38500,3,91,3,200,4,1,1,28,20,3105
932,11,2,5,4,1,65700,3,136,4,316,4,1,2,25,20,870
1781,2,2,1,6,1,58700,11,29,3,240,4,2,3,38,24,3105
1154,3,2,5,4,1,52300,5,11,5,248,2,9,3,32,22,3916
1106,2,1,5,4,1,38600,5,25,3,220,2,9,1,32,23,3105
91,10,2,7,8,2,40700,8,121,5,390,4,6,2,21,15,2009
469,8,2,6,12,4,166900,11,100,3,523,4,9,2,21,12,617
1148,3,1,6,8,4,92900,11,74,2,552,4,4,2,20,14,3916
1658,8,2,5,4,1,41150,3,59,5,241,4,1,3,28,21,617
797,2,1,5,4,1,47000,12,27,5,252,4,9,3,28,23,3105
1178,11,2,7,4,3,39850,3,134,4,240,4,1,3,31,23,870
1402,3,2,6,6,4,54900,5,11,3,300,2,9,3,31,20,3916
225,9,1,6,4,1,29495,11,66,3,237,4,10,1,25,18,436
1736,10,2,7,6,1,31340,3,84,4,260,4,1,3,28,21,2009
1347,7,2,7,6,3,35035,3,48,3,273,4,1,2,24,17,586
102,4,2,4,6,3,31875,10,122,4,283,4,5,3,25,17,1013
715,3,2,6,4,1,42750,7,11,3,240,2,9,3,33,22,3916
1054,8,1,6,4,1,48500,11,44,3,355,4,4,3,31,23,617
664,8,2,6,8,4,106700,5,111,3,429,2,9,1,24,17,617
821,10,2,5,4,3,25240,2,65,3,188,4,1,1,32,28,2009
124,10,2,6,6,4,46570,5,10,5,332,2,8,1,25,18,2009
1158,10,2,7,4,1,24680,3,98,4,170,4,1,3,32,25,2009
834,7,2,7,4,3,25795,11,6,4,184,4,10,1,39,28,586
1715,3,2,6,8,1,94000,11,24,3,445,4,9,2,24,16,3916
270,10,2,7,4,3,21500,11,117,5,124,4,6,3,37,29,2009
166,11,2,7,6,1,45400,12,123,3,325,4,9,3,28,19,870
1036,10,2,7,8,2,52550,3,38,5,390,4,6,2,18,13,2009
207,11,2,5,4,3,49350,3,136,4,250,4,1,2,26,22,870
1157,7,2,7,6,3,32480,3,48,2,273,4,1,2,24,17,586
1113,7,4,7,4,3,22745,11,6,3,155,4,6,1,41,29,586
603,2,1,5,4,3,29900,11,25,3,170,4,9,1,33,23,3105
144,8,2,6,6,1,65200,3,57,4,362,4,1,2,21,17,617
88,10,4,6,6,4,33570,7,10,5,332,2,8,1,26,18,2009
447,11,2,7,4,3,48375,11,109,4,240,4,9,3,37,25,870
1818,10,2,7,8,2,45580,3,38,2,317,4,5,2,18,12,2009
363,2,1,5,4,1,41150,5,25,3,220,2,9,1,32,23,3105
1562,3,2,6,6,4,50150,11,7,3,335,4,9,3,33,25,3916
52,2,1,5,4,1,41650,11,25,3,220,4,9,1,33,24,3105
1616,9,1,6,4,1,38195,11,67,2,291,4,4,1,22,17,436
1304,2,2,6,4,1,39300,3,92,3,220,4,1,3,28,20,3105
762,3,2,6,8,4,128300,11,33,2,540,4,4,2,25,16,3916
1661,10,2,7,6,3,27990,11,37,5,270,4,10,3,32,22,2009
1648,10,2,7,8,4,57590,3,38,5,390,4,6,2,19,14,2009
1384,8,2,6,6,4,47270,3,69,1,302,4,1,3,23,18,617
1100,5,4,5,4,3,16845,1,18,3,101,2,7,1,40,31,819
709,8,2,6,8,4,70850,5,113,3,415,2,4,1,28,19,617
85,7,2,7,4,3,27820,3,47,2,184,4,1,3,32,25,586
353,3,4,6,6,4,31500,7,1,1,230,2,9,1,28,19,3916
226,8,2,6,8,1,96100,3,69,1,518,4,1,3,17,13,617
235,3,2,6,4,1,52000,5,11,4,240,2,9,3,33,21,3916
309,3,2,6,6,1,49650,2,8,5,320,4,7,3,30,20,3916
1422,7,4,7,4,3,20445,11,6,5,155,4,6,3,37,27,586
1566,10,2,7,4,3,22900,11,37,5,179,4,6,3,39,27,2009
903,8,2,6,8,4,74100,11,45,4,402,4,9,3,26,17,617
215,3,2,6,4,1,52250,11,16,3,241,4,9,2,33,22,3916
489,10,2,7,6,2,43300,3,90,4,260,4,1,2,26,19,2009
1708,11,2,7,6,1,51050,3,134,3,325,4,1,3,24,17,870
780,8,2,1,6,1,51790,3,69,2,240,4,1,3,28,20,617
1320,2,1,6,4,1,52500,7,120,5,292,2,4,1,27,23,3105
312,3,2,6,4,4,39250,3,128,5,240,4,1,3,28,21,3916
479,11,2,7,4,3,39450,11,105,4,302,4,9,3,33,23,870
1274,3,2,6,6,1,79100,7,22,3,315,2,9,3,29,20,3916
626,8,2,6,6,4,59200,5,113,4,302,2,9,1,29,21,617
1406,8,2,6,8,4,149700,5,111,4,577,2,4,1,25,16,617
1644,7,4,7,4,3,21395,3,47,2,155,4,1,3,35,26,586
1004,10,4,7,4,4,22180,9,55,4,152,4,6,1,23,19,2009
1187,7,2,7,4,3,21960,3,46,5,146,4,1,1,34,29,586
348,3,2,6,8,4,89600,11,23,3,445,4,9,2,25,17,3916
77,10,2,7,6,2,26900,3,137,1,261,4,6,3,20,15,2009
1457,10,2,5,4,1,26940,2,65,3,188,4,1,1,31,26,2009
1699,10,2,7,4,3,24490,3,98,3,170,4,1,3,33,26,2009
1138,4,2,4,6,3,40645,10,122,4,283,4,5,3,25,17,1013
651,2,2,6,6,1,68800,11,30,5,333,4,9,2,29,21,3105
240,10,4,6,6,4,48100,5,10,5,332,2,8,1,24,17,2009
1642,3,2,1,4,4,39850,11,7,4,180,4,2,3,42,32,3916
250,2,2,1,6,1,47500,3,92,3,240,4,1,3,31,24,3105
356,11,2,7,5,1,42050,12,135,4,250,4,1,3,26,19,870
1130,2,1,6,6,1,54100,7,103,4,333,2,4,3,28,18,3105
1352,9,4,7,3,3,14295,2,82,3,74,4,7,1,42,34,436
21,7,2,7,4,1,23210,3,46,4,146,4,1,1,32,27,586
850,3,2,6,6,1,82500,11,23,4,315,4,9,2,29,20,3916
1799,2,2,1,6,1,68300,11,30,3,240,4,2,2,38,24,3105
1277,8,2,6,12,4,234050,7,100,4,621,2,4,2,20,13,617
415,3,2,6,6,1,57900,11,16,3,302,4,9,2,29,20,3916
1814,3,2,6,4,1,43850,7,11,4,240,2,9,3,34,22,3916
195,4,2,7,6,3,37895,10,89,5,287,4,6,3,28,18,1013
25,2,2,6,8,1,114900,11,108,4,605,4,4,2,25,15,3105
56,3,2,6,8,1,72500,2,17,4,445,4,7,2,24,16,3916
1013,10,2,7,8,2,45020,8,121,5,390,4,6,2,20,15,2009
1133,10,2,7,6,4,26630,8,55,5,261,4,6,1,23,16,2009
1145,3,2,6,8,1,102200,3,133,5,567,4,1,3,19,14,3916
814,2,1,6,10,1,160300,7,95,2,525,2,9,1,22,13,3105
1355,3,4,6,6,4,51700,7,70,4,365,2,4,1,26,18,3916
806,10,2,7,6,3,32800,3,84,5,260,4,1,3,28,21,2009
1097,3,2,6,4,4,38500,3,128,3,240,4,1,3,28,21,3916
963,8,2,6,6,1,39900,3,62,3,302,4,1,3,25,18,617
384,2,4,6,4,1,36400,11,26,3,220,4,9,3,32,22,3105
898,4,2,4,4,3,24490,11,5,5,184,4,5,3,36,23,1013
865,2,2,6,4,1,47900,5,28,4,220,2,9,3,29,21,3105
1594,10,2,7,6,3,42870,10,94,2,260,4,6,1,25,19,2009
975,3,2,6,6,4,60700,2,17,3,300,4,7,2,28,19,3916
1579,10,4,7,4,3,16990,11,117,5,130,4,6,3,35,27,2009
952,3,2,6,8,1,97600,11,24,5,445,4,9,2,25,16,3916
1688,3,2,6,8,1,97400,11,24,4,445,4,9,2,25,16,3916
868,8,2,6,8,1,103200,12,52,3,577,4,4,3,21,15,617
611,3,2,6,6,4,55850,11,16,4,302,4,9,2,31,20,3916
1180,7,2,5,4,4,29265,5,77,3,158,2,10,1,28,21,586
1528,3,2,6,6,1,49700,3,129,4,300,4,1,3,27,19,3916
426,4,2,7,6,3,42495,10,89,5,287,4,10,3,28,18,1013
1561,5,4,5,4,3,23395,12,19,4,160,4,6,1,33,25,819
98,2,2,1,6,1,63700,11,29,4,240,4,2,3,38,25,3105
1140,2,1,5,4,1,48450,5,25,4,220,2,9,1,32,23,3105
909,8,2,6,6,1,59000,12,52,3,302,4,9,3,27,20,617
163,10,2,7,4,3,16330,2,126,3,109,4,7,1,40,31,2009
11,10,2,7,6,4,32510,8,55,5,261,4,6,1,23,16,2009
2,5,4,5,4,3,19345,12,19,3,160,4,6,1,33,25,819
386,2,1,6,6,1,49500,11,102,2,333,4,4,3,28,18,3105
1263,11,2,7,5,1,37650,12,123,4,250,4,9,3,29,20,870
1675,4,2,7,6,4,42690,11,9,4,292,4,10,2,31,19,1013
1194,2,2,3,4,1,43150,3,92,5,220,4,1,3,27,20,3105
1543,8,2,6,6,1,55600,11,52,4,302,4,9,3,28,20,617
503,8,2,6,8,1,144700,11,100,5,577,4,4,2,23,15,617
322,10,2,7,6,1,31160,3,84,3,260,4,1,3,28,21,2009
1306,9,2,7,4,3,21295,3,88,3,168,4,1,1,28,23,436
988,3,2,6,6,1,57800,3,129,4,360,4,1,3,25,18,3916
1420,7,2,7,6,3,29985,3,48,2,273,4,1,2,24,17,586
75,8,2,6,6,1,39480,3,62,2,302,4,1,3,24,19,617
1005,2,2,5,4,1,34600,3,91,3,200,4,1,1,28,20,3105
404,10,2,7,4,3,17380,11,117,3,130,4,6,3,39,30,2009
1803,2,1,5,4,3,34450,11,25,5,186,4,9,1,35,26,3105
1120,2,1,5,4,3,47600,11,29,5,252,4,9,3,34,24,3105
1636,8,4,6,4,4,43950,5,113,3,201,2,9,1,32,22,617
1109,10,2,7,4,4,22160,9,55,5,152,4,6,1,22,17,2009
188,11,2,7,4,3,40250,3,134,3,240,4,1,3,31,24,870
1498,3,2,6,8,1,70100,3,130,3,445,4,1,3,22,15,3916
1414,10,4,5,4,3,24830,2,65,5,188,4,1,1,33,27,2009
1376,4,2,7,6,1,37570,11,9,3,300,4,6,2,27,18,1013
1002,3,2,6,8,4,91200,11,23,5,445,4,9,2,24,17,3916
1702,10,2,7,8,2,38170,9,121,3,317,4,5,2,17,12,2009
1173,10,2,6,6,4,41820,5,10,4,332,2,8,1,25,18,2009
3,2,2,6,4,1,50200,5,28,4,220,2,9,3,29,21,3105
269,11,2,7,6,1,45550,3,134,3,300,4,1,3,24,17,870
318,3,2,6,4,1,40350,11,7,4,240,4,9,3,34,22,3916
872,11,2,5,4,1,53250,3,136,4,250,4,1,2,25,22,870
725,3,2,6,6,1,56900,5,11,3,300,2,9,3,29,20,3916
1704,3,2,6,6,4,60600,3,132,4,300,4,1,3,25,18,3916
455,8,1,6,4,3,31500,11,44,3,208,4,9,3,38,26,617
393,3,2,1,6,4,57100,11,16,3,255,4,2,2,38,26,3916
1623,10,2,7,6,4,22940,3,137,1,261,4,6,3,22,16,2009
769,2,2,5,4,1,44800,12,139,4,220,4,9,3,28,21,3105
722,4,2,7,6,1,34195,11,9,3,292,4,6,2,27,18,1013
199,9,2,7,3,3,14945,2,82,3,74,4,7,1,44,37,436
76,3,2,6,6,1,57800,3,130,5,300,4,1,3,24,18,3916
357,6,1,6,8,4,288000,7,13,2,597,2,3,1,17,13,2774
1303,11,2,7,6,1,61300,12,123,4,345,4,4,3,27,18,870
1156,2,1,1,4,3,32600,11,25,3,150,4,2,1,43,31,3105
1325,7,4,7,4,3,17845,11,6,4,155,4,6,1,41,29,586
187,3,2,6,6,1,56200,3,130,3,300,4,1,3,27,18,3916
1081,3,4,6,6,4,63500,11,71,4,425,4,4,3,26,17,3916
1030,2,1,6,8,1,69600,7,96,2,450,2,4,3,23,16,3105
513,2,1,6,6,1,54100,7,103,5,333,2,4,3,28,18,3105
1348,10,2,6,6,4,46790,7,10,4,350,2,4,1,26,19,2009
1251,10,2,6,6,4,46790,7,10,3,350,2,4,1,26,19,2009
1631,10,2,6,6,4,39270,7,10,3,332,2,8,1,26,19,2009
1206,8,2,6,8,1,89950,3,57,4,429,4,1,2,18,13,617
1637,7,4,7,4,3,21945,11,21,5,184,4,6,3,34,24,586
82,8,2,1,4,4,51800,11,52,3,195,4,2,3,42,28,617
906,3,2,1,6,1,59400,11,16,3,255,4,2,2,37,26,3916
14,5,4,5,4,3,24700,5,18,3,101,2,6,1,34,28,819
840,7,4,7,4,3,19940,10,15,1,157,4,6,1,28,21,586
216,10,2,7,6,2,31640,3,137,3,261,4,6,3,20,15,2009
220,7,2,7,4,3,22245,2,6,5,155,4,7,1,37,28,586
767,8,2,6,6,1,59900,12,52,4,302,4,9,3,27,20,617
336,8,2,6,6,1,68700,3,63,5,362,4,1,2,22,17,617
158,7,4,7,4,3,23245,2,6,3,155,4,7,1,40,29,586
1731,3,2,6,4,1,42750,7,11,3,240,2,9,3,33,22,3916
9,9,2,7,4,2,22195,3,88,3,148,4,1,1,30,24,436
640,8,2,6,6,4,37480,3,62,2,302,4,1,3,25,19,617
349,8,2,6,4,1,34850,3,58,5,208,4,1,1,31,23,617
1548,2,2,6,6,1,70950,11,30,4,333,4,9,2,30,20,3105
871,8,2,6,8,1,64550,3,57,2,362,4,1,2,19,14,617
1383,8,2,6,6,4,37090,3,62,1,302,4,1,3,25,19,617
980,8,2,6,8,1,143250,11,100,4,577,4,4,2,23,15,617
178,8,2,6,12,4,214500,5,111,3,621,2,4,1,21,14,617
1377,2,2,1,6,1,59500,11,29,4,240,4,2,3,38,25,3105
1815,2,2,5,4,3,32500,3,91,3,200,4,1,1,29,20,3105
647,9,4,7,3,3,14195,2,82,2,74,4,7,1,42,34,436
